age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed
58;management;married;tertiary;no;yes;no;cellular;may;mon;261;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
44;technician;single;secondary;no;no;no;cellular;aug;fri;210;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
33;entrepreneur;married;secondary;no;yes;yes;cellular;nov;fri;139;1;999;0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8
47;blue-collar;married;unknown;no;yes;no;cellular;may;mon;231;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
33;unknown;single;unknown;no;no;no;cellular;jul;mon;329;1;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
35;management;married;tertiary;no;yes;no;cellular;apr;fri;99;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
28;management;single;tertiary;no;yes;no;cellular;oct;mon;231;1;999;0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8
42;entrepreneur;divorced;tertiary;yes;no;no;cellular;apr;thu;213;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
58;retired;married;primary;no;yes;no;cellular;mar;mon;151;1;999;0;nonexistent;-0.1;92.201;-50.0;1.405;5099.1
43;technician;single;secondary;no;no;no;cellular;aug;fri;156;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
41;admin.;divorced;secondary;no;yes;no;cellular;apr;mon;134;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
29;admin.;single;tertiary;no;no;no;cellular;jul;wed;118;1;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
53;technician;married;secondary;no;yes;no;cellular;aug;fri;479;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
58;technician;married;unknown;no;yes;no;telephone;may;mon;151;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
57;services;married;secondary;no;yes;no;cellular;nov;thu;184;1;999;0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8
51;retired;married;primary;no;yes;no;telephone;may;tue;148;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
45;admin.;single;unknown;no;no;no;telephone;may;mon;158;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
57;blue-collar;married;primary;no;no;no;telephone;may;wed;313;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
60;retired;married;primary;no;yes;no;telephone;may;wed;244;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
33;services;married;secondary;no;no;no;telephone;jul;tue;185;3;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
39;admin.;married;secondary;no;yes;no;telephone;may;fri;137;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
32;blue-collar;single;primary;no;yes;no;telephone;jun;thu;179;3;999;0;nonexistent;1.4;94.465;-41.8;4.958;5228.1
43;services;married;secondary;no;yes;no;cellular;apr;mon;247;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
34;management;single;tertiary;no;yes;no;cellular;jul;mon;83;1;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
46;self-employed;married;tertiary;no;yes;yes;cellular;aug;tue;208;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
35;blue-collar;married;secondary;no;yes;no;telephone;may;fri;333;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
57;retired;married;secondary;no;yes;no;cellular;aug;fri;239;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
37;technician;married;secondary;no;yes;no;cellular;nov;tue;185;2;999;0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8
36;admin.;married;secondary;no;yes;no;cellular;nov;fri;149;1;999;0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8
40;blue-collar;married;primary;no;no;no;telephone;may;fri;279;4;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
